59981 112.33 16.83 5.9 1422
   pressure   height   temperature   dew_point   w_direct   w_speed
   177   1334.4   -56.5   -63.1   77   24.8
   171.1   1354.8   -58.4   -64.6   78   25.8
   167.9   1366.8   -58.7   -65.3   79   26.3
   156.1   1412.3   -62.3   9999   78   27.5
   150   1434.7   -64.5   9999   77   28.2
   149.5   1437.3   -64.6   9999   77   28.2
   136   1498.3   -69.3   9999   69   29.2
   128.5   1531.3   -72.4   9999   64   30.5
   122   1563.6   -74.3   9999   60   31.9
   121.2   1567.1   -74.4   9999   60   32
   111.3   1607.1   -78.1   9999   60   33.4
   104.2   1645.0   -80.4   9999   64   34
   103.7   1647.8   -80.4   9999   64   34
   103.7   1647.8   -80.58   9999   64   34
   100   1671.7   -80.2   9999   68   33.9
   99.7   1673.4   -80.1   9999   68   33.8
   93.8   1705.2   -82.5   9999   75   32.9
   93.8   1705.2   -82.5   9999   75   32.9
   91.1   1721.4   -81.8   9999   79   32.2
   89.9   1728.3   -81.3   9999   80   31.5
   87.9   1741.6   -79.2   9999   82   30.3
   86.1   1753.1   -79.5   9999   85   29.2
   85.7   1756.1   -79.1   9999   85   28.9
   84.6   1763.6   -78   9999   85   28
   82.7   1778.6   -77.9   9999   85   26.4
   82.1   1782.6   -76.8   9999   85   25.9
   80.8   1793.0   -77.1   9999   85   24.8
   80   1798.2   -76.1   9999   85   24.4
   78.2   1812.7   -76.6   9999   86   23.1
   77.3   1819.0   -75.1   9999   87   22.5
   76.5   1825.4   -75   9999   87   22
   75.9   1829.4   -75.1   9999   87   21.6
   75   1836.4   -73.8   9999   87   20.9
   72   1860.1   -73.6   9999   86   18.6
   72   1859.5   -73.7   9999   86   18.6
   70.4   1872.8   -72.2   9999   85   18.2
   70   1875.6   -70.9   9999   85   18.1
   69.8   1876.9   -70.7   9999   85   18
   67.6   1896.4   -71.3   9999   83   17.4
   67   1902.0   -71.5   9999   84   17.2
   65.1   1919.5   -70.4   9999   85   16.7
   64.2   1928.2   -71   9999   86   16.4
   63.6   1933.9   -70   9999   87   16.2
   63   1940.7   -68.2   9999   87   15.8
   60   1971.4   -68   9999   85   14.4
   59.9   1973.9   -68   9999   85   14.4
   56.4   2008.9   -66.4   9999   81   15
   55.4   2019.5   -65.8   9999   81   14.9
   50   2077.6   -65.5   9999   82   15.3
   49.2   2088.7   -65.6   9999   82   15.5
   47.2   2115.1   -64.6   9999   84   16.1
   46.7   2122.9   -63.8   9999   85   16.3
   45.4   2140.3   -62.2   9999   85   16.7
   44   2157.8   -62.7   9999   85   17
   42.5   2179.7   -60.8   9999   84   17.4
   41   2200.4   -61.8   9999   83   17.7
   40.7   2205.6   -61.7   9999   83   18
   40   2214.9   -60.3   9999   83   18.5
   39.4   2224.2   -59.4   9999   82   19
   38.3   2240.7   -60.2   9999   82   19.8
   37.2   2260.6   -60.5   9999   83   20.9
   36   2278.4   -59.6   9999   85   21.8
   35.8   2281.9   -58.8   9999   85   22
   33.8   2315.5   -55.7   9999   91   22.4
   31.6   2359.4   -54.5   9999   94   23.2
   31.4   2364.3   -53.7   9999   94   23.3
   31.2   2369.7   -53.1   9999   94   23.3
   30   2397.0   -52.9   9999   93   22.9
   29.3   2413.2   -53.1   9999   93   22.8
   27.6   2449.8   -51.5   9999   90   22.8
   27.3   2459.9   -51.1   9999   89   23.1
   25.8   2495.7   -51.7   9999   84   24.2
   24.2   2537.3   -50.5   9999   81   26.4
   23.9   2547.5   -50.2   9999   81   26.9
   22.3   2594.9   -50.8   9999   81   29.3
   21.2   2624.9   -49.9   9999   80   30.4
   20.5   2646.0   -49.6   9999   80   30.8
   20   2660.6   -48.7   9999   79   31.1
   19.6   2677.7   -48.2   9999   79   31.3
   19.1   2691.9   -46.5   9999   79   31.3
   18.6   2713.5   -45.6   9999   79   31.3
   18.6   2713.5   -45.89   9999   79   31.3
   18   2730.6   -45.5   9999   79   30.9
   17.9   2738.1   -43.9   9999   80   30.7
   17.1   2770.1   -42.9   9999   80   30
   16.1   2803.0   -43.7   9999   81   29.4
   16.1   2802.9   -43.7   9999   81   29.4
   15.1   2846.9   -42.6   9999   84   29.3
   15   2853.1   -42.8   9999   84   29.3
   14.1   2895.8   -43.3   9999   86   29.1
   13.8   2908.8   -44.1   9999   87   29.4
   13.2   2937.1   -42.4   9999   89   30.1
   12.4   2985.7   -44.2   9999   92   31.2
   12.3   2993.1   -44.1   9999   92   31.3
   12   3006.8   -43.4   9999   93   31.4
   10.9   3070.0   -44.5   9999   97   31.7
   10.7   3090.3   -44.1   9999   99   31.9
   10   3125.6   -43.2   9999   100   31.9
   9.8   3144.5   -42.7   9999   101   31.9
   9.2   3184.8   -43.9   9999   100   31.7
   8.7   3216.6   -44.6   9999   100   31.7
   7.7   3301.1   -43.1   9999   9999   9999
   7.7   3301.1   -43.1   9999   9999   9999
